Projectline,Angular Web Developer,"Saskatoon, SK or Remote",https://careers.risepeople.com/project-line-solutions-inc/en/7702_full-stack-software-developer
Projectline,Full Stack Software Developer,"Saskatoon, SK or Remote",https://careers.risepeople.com/project-line-solutions-inc/en/7702_full-stack-software-developer
Company,Job_title,Location,Link
Univerus,Senior Asset Management Consultant,"brisbane, QLD",https://univerus.com/job-details/senior-asset-management-consultant/
Company,Job_title,Location,Link
Charter,Intermediate Power Platform Developer,Remote (any location),https://charter-telecom-inc.breezy.hr/p/768db02b3b5a-intermediate-power-platform-developer
Company,Job_title,Location,Link
FirstTeCPro,Software Engineering Manager (Java),Moose Jaw,https://www.firsttecpro.com/career-details/?id=36
FirstTeCPro,OutSystems Professional Web Developer,Regina,https://www.firsttecpro.com/career-details/?id=29
FirstTeCPro,UI/UX Designer,Regina,https://www.firsttecpro.com/career-details/?id=26
